wkmrid , wkmridVersioned , accessionNumber , serialCode , kitabooId , isbn10 , isbn13 , electronicIsbn10 , electronicIsbn13 , doi , issn , assetVersion , product , status , productVersion
wkmrid_053 , wkmridversioned_053 ,  01929426/2nd_Edition/3  , 01929426  , kitabooId_053 ,  , 978-1-4511-3162-8 ,  , 978-1-4511-3162-8 , doi_053 , issn_053 , assetVersion_053 , KIERJ  , beta , beta
wkmrid_054 , wkmridversioned_054 ,  01222971/12th_Edition/10  , 01222971  , kitabooId_054 , 0-7817-3896-2 ,  , 0-7817-3896-2 ,  , doi_054 , issn_054 , assetVersion_054 , OPKSD  , beta , beta
wkmrid_055 , wkmridversioned_055 ,  01438160/1st_Edition/5  , 01438160  , kitabooId_055 ,  , 978-7-117-09239-5 ,  , 978-7-117-09239-5 , doi_055 , issn_055 , assetVersion_055 , HVNEP  , beta , beta
wkmrid_056 , wkmridversioned_056 ,  01438161/1st_Edition/7  , 01438161  , kitabooId_056 ,  , 978-7-117-10629-0 ,  , 978-7-117-10629-0 , doi_056 , issn_056 , assetVersion_056 , VIWRS  , beta , beta
wkmrid_057 , wkmridversioned_057 ,  01438162/1st_Edition/5  , 01438162  , kitabooId_057 ,  , 978-7-117-11355-7 ,  , 978-7-117-11355-7 , doi_057 , issn_057 , assetVersion_057 , TPFRX  , beta , beta
wkmrid_058 , wkmridversioned_058 ,  01515486/15th_Edition/2  , 01515486  , kitabooId_058 ,  , 978-1-4496-0013-6 ,  , 978-1-4496-0013-6 , doi_058 , issn_058 , assetVersion_058 , LVNXX  , beta , beta
wkmrid_059 , wkmridversioned_059 ,  01720271/16th_Edition/2  , 01720271  , kitabooId_059 ,  , 978-1-4496-4462-8 ,  , 978-1-4496-4462-8 , doi_059 , issn_059 , assetVersion_059 , HTEUI  , beta , beta
wkmrid_060 , wkmridversioned_060 ,  01720607/13th_Edition/5  , 01720607  , kitabooId_060 , 1-4511-5022-9 , 978-1-4511-5022-3 , 1-4511-5022-9 , 978-1-4511-5022-3 , doi_060 , issn_060 , assetVersion_060 , DISEF  , beta , beta
wkmrid_062 , wkmridversioned_062 ,  01720272/17th_Edition/3  , 01720272  , kitabooId_062 ,  , 978-1-4496-9857-7 ,  , 978-1-4496-9857-7 , doi_062 , issn_062 , assetVersion_062 , FYIVQ  , beta , beta
wkmrid_063 , wkmridversioned_063 ,  01735172/14th_Edition/3  , 01735172  , kitabooId_063 , 1-4511-8655-X , 978-1-4511-8655-0 , 1-4511-8655-X , 978-1-4511-8655-0 , doi_063 , issn_063 , assetVersion_063 , OXLDE  , beta , beta
wkmrid_065 , wkmridversioned_065 ,  01812594/18th_Edition/2  , 01812594  , kitabooId_065 ,  , 978-1-284-04393-8 ,  , 978-1-284-04393-8 , doi_065 , issn_065 , assetVersion_065 , MQLYW  , beta , beta
wkmrid_066 , wkmridversioned_066 ,  01857013/19th_Edition/2  , 01857013  , kitabooId_066 ,  , 978-1-284-05929-8 ,  , 978-1-284-05929-8 , doi_066 , issn_066 , assetVersion_066 , FWHNJ  , beta , beta
wkmrid_067 , wkmridversioned_067 ,  02191047/23rd_Edition/4  , 02191047  , kitabooId_067 ,  , 978-1-284-17132-7 ,  , 978-1-284-17132-7 , doi_067 , issn_067 , assetVersion_067 , SMYPM  , beta , beta
wkmrid_068 , wkmridversioned_068 ,  02081071/1st_Edition/2  , 02081071  , kitabooId_068 ,  , 978-1-6359-3004-7 ,  , 978-1-6359-3004-7 , doi_068 , issn_068 , assetVersion_068 , XGFJA  , beta , beta
wkmrid_069 , wkmridversioned_069 ,  01438100/1st_Edition/3  , 01438100  , kitabooId_069 , 1-933864-26-5 , 978-1-933864-26-6 , 1-933864-26-5 , 978-1-933864-26-6 , doi_069 , issn_069 , assetVersion_069 , NCWCN  , beta , beta
wkmrid_070 , wkmridversioned_070 ,  01279795/1st_Edition/3  , 01279795  , kitabooId_070 , 3-540-28543-1 , 978-3-540-28543-4 , 3-540-28543-1 , 978-3-540-28543-4 , doi_070 , issn_070 , assetVersion_070 , UIDIU  , beta , beta
wkmrid_071 , wkmridversioned_071 ,  02158097/1st_Edition/2  , 02158097  , kitabooId_071 ,  , 978-3-318-06306-6 ,  , 978-3-318-06306-6 , doi_071 , issn_071 , assetVersion_071 , VQHOU  , beta , beta
wkmrid_072 , wkmridversioned_072 ,  01641741/1st_Edition/3  , 01641741  , kitabooId_072 ,  , 978-1-4511-1894-0 ,  , 978-1-4511-1894-0 , doi_072 , issn_072 , assetVersion_072 , RHNPG  , beta , beta
wkmrid_073 , wkmridversioned_073 ,  01337213/16th_Edition/2  , 01337213  , kitabooId_073 , 0-7817-7608-2 , 978-0-7817-7608-0 , 0-7817-7608-2 , 978-0-7817-7608-0 , doi_073 , issn_073 , assetVersion_073 , LWVVR  , beta , beta
wkmrid_074 , wkmridversioned_074 ,  01337912/17th_Edition/6  , 01337912  , kitabooId_074 , 0-7817-7957-X , 978-0-7817-7957-9 , 0-7817-7957-X , 978-0-7817-7957-9 , doi_074 , issn_074 , assetVersion_074 , WJXEE  , beta , beta
wkmrid_075 , wkmridversioned_075 ,  01429624/18th_Edition/5  , 01429624  , kitabooId_075 , 1605470139 , 9781605470139 , 1605470139 , 9781605470139 , doi_075 , issn_075 , assetVersion_075 , KTXSA  , beta , beta
wkmrid_076 , wkmridversioned_076 ,  01436596/19th_Edition/5  , 01436596  , kitabooId_076 , 1608312593 , 9781608312597 , 1608312593 , 9781608312597 , doi_076 , issn_076 , assetVersion_076 , MGXXK  , beta , beta
wkmrid_077 , wkmridversioned_077 ,  01438842/20th_Edition/2  , 01438842  , kitabooId_077 , 1-451-1030-34 , 978-1-4511-0303-8 , 1-451-1030-34 , 978-1-4511-0303-8 , doi_077 , issn_077 , assetVersion_077 , VMBOI  , beta , beta
wkmrid_078 , wkmridversioned_078 ,  01641738/21st_Edition/3  , 01641738  , kitabooId_078 , 1-4511-8374-7 , 978-1-4511-8374-0 , 1-4511-8374-7 , 978-1-4511-8374-0 , doi_078 , issn_078 , assetVersion_078 , IUOWQ  , beta , beta
wkmrid_079 , wkmridversioned_079 ,  01735129/22nd_Edition/5  , 01735129  , kitabooId_079 , 1-4511-8850-1 , 978-1-4511-8850-9 , 1-4511-8850-1 , 978-1-4511-8850-9 , doi_079 , issn_079 , assetVersion_079 , JWBXA  , beta , beta
wkmrid_080 , wkmridversioned_080 ,  01938981/25th_Edition/3  , 01938981  , kitabooId_080 , 1-4963-3996-7 , 978-1-4963-3996-6 , 1-4963-3996-7 , 978-1-4963-3996-6 , doi_080 , issn_080 , assetVersion_080 , MGOKQ  , beta , beta
wkmrid_081 , wkmridversioned_081 ,  02064987/27th_Edition/9  , 02064987  , kitabooId_081 ,  , 9781975105129 ,  , 9781975105129 , doi_081 , issn_081 , assetVersion_081 , MKNRL  , beta , beta
wkmrid_082 , wkmridversioned_082 ,  02118598/28th_Edition/3  , 02118598  , kitabooId_082 ,  , 978-1-9751-3641-3 ,  , 978-1-9751-3641-3 , doi_082 , issn_082 , assetVersion_082 , EGTAJ  , beta , beta
wkmrid_083 , wkmridversioned_083 ,  02008467/26th_Edition/2  , 02008467  , kitabooId_083 , 1-4963-7465-7 , 978-1-4963-7465-3 , 1-4963-7465-7 , 978-1-4963-7465-3 , doi_083 , issn_083 , assetVersion_083 , GHQAY  , beta , beta
wkmrid_084 , wkmridversioned_084 ,  01787244/23rd_Edition/3  , 01787244  , kitabooId_084 ,  , 978-1-4511-9214-8 ,  , 978-1-4511-9214-8 , doi_084 , issn_084 , assetVersion_084 , LMCBH  , beta , beta
wkmrid_085 , wkmridversioned_085 ,  01856990/24th_Edition/5  , 01856990  , kitabooId_085 ,  , 978-1-4963-0863-4 ,  , 978-1-4963-0863-4 , doi_085 , issn_085 , assetVersion_085 , GYAPJ  , beta , beta
wkmrid_086 , wkmridversioned_086 ,  00139924/2007_Edition/5  , 00139924  , kitabooId_086 , 0-7817-6334-7 , 978-0-7817-6334-9 , 0-7817-6334-7 , 978-0-7817-6334-9 , doi_086 , issn_086 , assetVersion_086 , TLVEB  , beta , beta
wkmrid_087 , wkmridversioned_087 ,  01241372/9th_Edition/12  , 01241372  , kitabooId_087 ,  ,  ,  ,  , doi_087 , issn_087 , assetVersion_087 , KEEIF  , beta , beta
wkmrid_088 , wkmridversioned_088 ,  01641770/2nd_Edition/4  , 01641770  , kitabooId_088 , 1-4511-1654-3 , 978-1-4511-1654-0 , 1-4511-1654-3 , 978-1-4511-1654-0 , doi_088 , issn_088 , assetVersion_088 , KQCIE  , beta , beta
wkmrid_089 , wkmridversioned_089 ,  01256985/1st_Edition/3  , 01256985  , kitabooId_089 , 0-7817-8338-0 ,  , 0-7817-8338-0 ,  , doi_089 , issn_089 , assetVersion_089 , RQKHF  , beta , beta
wkmrid_090 , wkmridversioned_090 ,  01434791/1st_Edition/5  , 01434791  , kitabooId_090 , 0-683-30273-6 ,  , 0-683-30273-6 ,  , doi_090 , issn_090 , assetVersion_090 , MNUKR  , beta , beta
wkmrid_091 , wkmridversioned_091 ,  01823270/1st_Edition/2  , 01823270  , kitabooId_091 , 1-60547-216-6 , 978-1-60547-216-4 , 1-60547-216-6 , 978-1-60547-216-4 , doi_091 , issn_091 , assetVersion_091 , KVKNH  , beta , beta
wkmrid_092 , wkmridversioned_092 ,  00139864/1st_Edition/15  , 00139864  , kitabooId_092 , 0-683-30736-3 ,  , 0-683-30736-3 ,  , doi_092 , issn_092 , assetVersion_092 , CAEPE  , beta , beta
wkmrid_093 , wkmridversioned_093 ,  01382413/1st_Edition/7  , 01382413  , kitabooId_093 , O-683-30723-1 , 978-0-683-30723-8 , O-683-30723-1 , 978-0-683-30723-8 , doi_093 , issn_093 , assetVersion_093 , KRFJL  , beta , beta
wkmrid_094 , wkmridversioned_094 ,  01626619/2nd_Edition/2  , 01626619  , kitabooId_094 ,  , 978-1-4511-0012-9 ,  , 978-1-4511-0012-9 , doi_094 , issn_094 , assetVersion_094 , IDYDH  , beta , beta
wkmrid_095 , wkmridversioned_095 ,  01337302/1st_Edition/4  , 01337302  , kitabooId_095 , 0-7817-6942-6 , 978-0-7817-6942-6 , 0-7817-6942-6 , 978-0-7817-6942-6 , doi_095 , issn_095 , assetVersion_095 , IGVYJ  , beta , beta
wkmrid_096 , wkmridversioned_096 ,  00139867/2nd_Edition/4  , 00139867  , kitabooId_096 , 0-7817-9971-6 , 978-0-7817-9971-3 , 0-7817-9971-6 , 978-0-7817-9971-3 , doi_096 , issn_096 , assetVersion_096 , JEACJ  , beta , beta
wkmrid_097 , wkmridversioned_097 ,  02158166/3rd_Edition/2  , 02158166  , kitabooId_097 ,  , 978-1-4963-6063-2 ,  , 978-1-4963-6063-2 , doi_097 , issn_097 , assetVersion_097 , ISTGQ  , beta , beta
wkmrid_098 , wkmridversioned_098 ,  01408066/1st_Edition/3  , 01408066  , kitabooId_098 , 0-7817-7953-7 , 978-0-7817-7953-1 , 0-7817-7953-7 , 978-0-7817-7953-1 , doi_098 , issn_098 , assetVersion_098 , JHJKK  , beta , beta
wkmrid_099 , wkmridversioned_099 ,  01256986/1st_Edition/4  , 01256986  , kitabooId_099 , 0-7817-6165-4 ,  , 0-7817-6165-4 ,  , doi_099 , issn_099 , assetVersion_099 , GWYBP  , beta , beta
wkmrid_100 , wkmridversioned_100 ,  00139865/4th_Edition/6  , 00139865  , kitabooId_100 , 0-7817-5452-6 ,  , 0-7817-5452-6 ,  , doi_100 , issn_100 , assetVersion_100 , YFUEG  , beta , beta
wkmrid_101 , wkmridversioned_101 ,  01856991/7th_Edition/3  , 01856991  , kitabooId_101 ,  , 978-1-4511-9102-8 ,  , 978-1-4511-9102-8 , doi_101 , issn_101 , assetVersion_101 , FJIDB  , beta , beta
wkmrid_102 , wkmridversioned_102 ,  01337157/5th_Edition/2  , 01337157  , kitabooId_102 , 0-7817-7577-9 , 978-0-7817-7577-9 , 0-7817-7577-9 , 978-0-7817-7577-9 , doi_102 , issn_102 , assetVersion_102 , AMFNY  , beta , beta
wkmrid_103 , wkmridversioned_103 ,  01438890/6th_Edition/2  , 01438890  , kitabooId_103 ,  , 978-1-4511-8338-2 ,  , 978-1-4511-8338-2 , doi_103 , issn_103 , assetVersion_103 , GKYGK  , beta , beta
wkmrid_104 , wkmridversioned_104 ,  02091962/8th_Edition/3  , 02091962  , kitabooId_104 ,  , 978-1-4963-8176-7 ,  , 978-1-4963-8176-7 , doi_104 , issn_104 , assetVersion_104 , BYKRE  , beta , beta
wkmrid_105 , wkmridversioned_105 ,  00139866/1st_Edition/11  , 00139866  , kitabooId_105 , 0-7817-3045-7 ,  , 0-7817-3045-7 ,  , doi_105 , issn_105 , assetVersion_105 , EBPRR  , beta , beta
wkmrid_106 , wkmridversioned_106 ,  02123219/3rd_Edition/4  , 02123219  , kitabooId_106 ,  , 978-1-4963-9693-8 ,  , 978-1-4963-9693-8 , doi_106 , issn_106 , assetVersion_106 , JREEG  , beta , beta
wkmrid_107 , wkmridversioned_107 ,  01437578/2nd_Edition/8  , 01437578  , kitabooId_107 ,  , 978-1-60547-668-1 ,  , 978-1-60547-668-1 , doi_107 , issn_107 , assetVersion_107 , VCWVC  , beta , beta
wkmrid_108 , wkmridversioned_108 ,  00139868/1st_Edition/12  , 00139868  , kitabooId_108 , 0-683-30202-7 ,  , 0-683-30202-7 ,  , doi_108 , issn_108 , assetVersion_108 , RVCYG  , beta , beta
wkmrid_109 , wkmridversioned_109 ,  00139869/1st_Edition/30  , 00139869  , kitabooId_109 , 0-7817-2284-5 ,  , 0-7817-2284-5 ,  , doi_109 , issn_109 , assetVersion_109 , DLNUP  , beta , beta
wkmrid_110 , wkmridversioned_110 ,  01412566/2nd_Edition/6  , 01412566  , kitabooId_110 ,  , 978-1-58255-722-9 ,  , 978-1-58255-722-9 , doi_110 , issn_110 , assetVersion_110 , FCCRQ  , beta , beta
wkmrid_111 , wkmridversioned_111 ,  01787263/3rd_Edition/4  , 01787263  , kitabooId_111 ,  , 978-1-4511-8998-8 ,  , 978-1-4511-8998-8 , doi_111 , issn_111 , assetVersion_111 , EGROU  , beta , beta
wkmrid_112 , wkmridversioned_112 ,  01382578/1st_Edition/6  , 01382578  , kitabooId_112 , 0-7817-7349-0 , 978-0-7817-7349-2 , 0-7817-7349-0 , 978-0-7817-7349-2 , doi_112 , issn_112 , assetVersion_112 , KAOYT  , beta , beta
wkmrid_113 , wkmridversioned_113 ,  00140024/9th_Edition/116  , 00140024  , kitabooId_113 , 1-57439-132-1 ,  , 1-57439-132-1 ,  , doi_113 , issn_113 , assetVersion_113 , WMCFP  , beta , beta
wkmrid_114 , wkmridversioned_114 ,  01382248/1st_Edition/8  , 01382248  , kitabooId_114 , 0-7637-4156-6 , 978-0-7637-4156-3 , 0-7637-4156-6 , 978-0-7637-4156-3 , doi_114 , issn_114 , assetVersion_114 , TIKMO  , beta , beta
